Дом 130 м? на участке 9,5 сот.;50000р.;40 минут назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_130_m_na_uchastke_95_sot._2017013716
Дом 75 м? на участке 2 сот.;3500р.;2 дня назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_75_m_na_uchastke_2_sot._1859462213
Дом 60 м? на участке 7 сот.;2490р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_60_m_na_uchastke_7_sot._1947671886
Дом 138 м? на участке 7,5 сот.;3850000р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_138_m_na_uchastke_75_sot._2079700154
Дом 135 м? на участке 4 сот.;6900000р.;2 дня назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_135_m_na_uchastke_4_sot._1891020870
Дом 36 м? на участке 5 сот.;2990000р.;1 день назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_36_m_na_uchastke_5_sot._2075649233
Дом из профилированного бруса 8*10;520000р.;46 минут назад;https://www.avito.ru//kazan/remont_i_stroitelstvo/dom_iz_profilirovannogo_brusa_810_2006470738
Коттедж 200 м? на участке 6 сот.;3000р.;17 часов назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/kottedzh_200_m_na_uchastke_6_sot._1568331652
Дом 216 м? на участке 20 сот.;28000000р.;1 час назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_216_m_na_uchastke_20_sot._2075970851
Дом 85 м? на участке 7 сот.;3000р.;2 дня назад;https://www.avito.ru//kazan/doma_dachi_kottedzhi/dom_85_m_na_uchastke_7_sot._1863450546
